"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"229.","1573","Пожаревац","Браничевски управни округ","Велико Градиште","Велико Градиште","Средња школа Милоје Васић","Житни трг 4","12220","direktor@ssvg.edu.rs","(012)663131","http://www.ssvg.edu.rs","7159226","101364834","1990-11-26","Средње стручне школе","Државно","19","0","0","370","189","0","2","0","43","33.140000","58","48.640000"
"230.","1574","Пожаревац","Браничевски управни округ","Кучево","Кучево","Економско-трговинска и машинска школа","Жике Поповића 68","12240","sskolak@gmail.com","(012)851749","http://srednjaskolakucevo.rs","7164050","101279319","1929-10-07","Средње стручне школе","Државно","10","0","0","190","112","2","5","0","32","21.942700","40","32.776000"
"231.","1575","Пожаревац","Браничевски управни округ","Петровац на Млави","Петровац на Млави","Средња школа Младост","Млавска 14","12300","gimnazijamladost@mts.rs","(012)331129","http://www.mladost.rs","7161719","101584579","1961-06-06","Средње стручне школе","Државно","20","0","0","438","240","2","4","2","48","38.321100","60","52.821100"
"232.","1576","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Пожаревачка гимназија","Симе Симића 1","12000","pogimnazija@gmail.com","(012)522570","http://www.pozarevackagimnazija.edu.rs","7161255","101972522","1862-09-24","Гимназије","Државно","25","0","0","747","423","0","0","0","62","49.490000","76","65.990000"
"233.","1577","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Економско-трговинска школа","Јована Шербановића 6","12000","etskola@open.telekom.rs","(012)223389","http://ekonomskapo.edu.rs","7161689","101523392","1850-05-23","Средње стручне школе","Државно","29","0","0","806","522","0","0","0","67","52.320000","83","70.700000"
"234.","1578","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Медицинска школа","Лоле Рибара 6-8","12000","medicinskapo@gmail.com","(012)541625","http://www.medicinskapozarevac.edu.rs","7161409","101972619","1947-05-12","Средње стручне школе","Државно","16","0","0","478","366","0","1","0","71","43.410000","84","57.010000"
"235.","1579","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Пољопривредна школа са домом ученика Соња Маринковић","Илије Бирчанина 70","12000","poljsk@mts.rs","(012)223388","http://www.poljsk.edu.rs","7160631","101973079","1872-10-10","Средње стручне школе","Државно","17","0","0","333","179","2","8","0","57","42.640000","115","102.500000"
"236.","1580","Пожаревац","Браничевски управни округ","Костолац","Костолац","Техничка школа са домом ученика Никола Тесла","Боже Димитријевића бб","12208","tskodirektor@hotmail.com","(012)241841","http://www.tehnickakostolac.edu.rs","7160542","101522031","0000-00-00","Средње стручне школе","Државно","31","0","0","694","130","0","3","0","75","64.930000","113","106.430000"
"237.","1581","Пожаревац","Браничевски управни округ","Пожаревац","Пожаревац","Политехничка школа","Јована Шербановића 5","12000","politehnickas@ptt.rs","(012)513595","http://www.politehnicka.edu.rs","7577656","101522672","1990-10-05","Средње стручне школе","Државно","17","0","0","477","104","0","1","0","48","36.200000","59","49.200000"
"238.","1583","Пожаревац","Браничевски управни округ","Жагубица","Жагубица","Техничка школа","Хомољска бб","12320","tszagubica@ptt.rs","(012)643232","http://www.tszagubica.edu.rs","17113011","101579879","1978-10-28","Средње стручне школе","Државно","11","0","0","174","70","0","0","0","25","18.305700","32","25.805700"
"239.","1584","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Паланачка гимназија","Вука Караџића 18","11420","gimnazija@mts.rs","(026)310631","http://www.palanackagimnazija.edu.rs","7142811","101386647","1919-10-30","Гимназије","Државно","21","0","0","494","283","0","0","0","55","39.587700","68","54.587700"
"240.","1585","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Машинско-електротехничка школа Гоша","Индустријска 66","11420","skolagosa@mts.rs","(026)317310","http://www.skolagosa.edu.rs","7160895","101930265","1966-01-25","Средње стручне школе","Државно","19","0","0","544","104","1","0","0","58","49.483300","73","67.183300"
"241.","1586","Пожаревац","Подунавски управни округ","Смедеревска Паланка","Смедеревска Паланка","Средња школа Жикица Дамњановић","Главашева 81","11420","sszdam@verat.net","(026)310839","http://zikicadamnjanovic.edu.rs","7142862","101930257","1968-11-11","Средње стручне школе","Државно","19","0","0","433","298","1","4","0","64","47.588100","77","63.088100"
"242.","1587","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Гимназија Велика Плана","Војводе Мишића 3","11320","gimplana@verat.net","(026)514269","http://www.gimnazija-velikaplana.edu.rs","7164173","101174589","1990-12-31","Гимназије","Државно","12","0","0","249","165","0","0","0","33","21.625000","42","31.525000"
"243.","1588","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Економско-угоститељска школа Вук Караџић","Момира Гајића 12","11320","eusvukvp@gmail.com","(026)514232","http://www.eus.edu.rs","7353090","101174564","1991-01-01","Средње стручне школе","Државно","18","0","0","476","322","0","17","0","59","41.840000","72","53.990000"
"244.","1589","Пожаревац","Подунавски управни округ","Велика Плана","Велика Плана","Техничка школа Никола Тесла","Војводе Мишића 3","11320","skolant@mts.rs","(026)514369","http://tsvelikaplana.edu.rs","7353081","101174572","1990-12-31","Средње стручне школе","Државно","18","0","0","409","88","0","31","0","49","37.120000","62","50.220000"
"245.","1590","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Гимназија","Слободе 3","11300","gimnazijasd@ptt.rs","(026)617383","http://www.gimnazijasd.edu.rs","7198574","100969259","0000-00-00","Гимназије","Државно","23","0","0","554","354","0","1","0","72","56.622200","88","74.022200"
"246.","1591","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Економско-трговинска школа","16 октобар бб 156","11300","ssekotrgsme1@mts.rs","(026)641360","http://www.etssd.edu.rs","7352948","100490031","1960-05-23","Средње стручне школе","Државно","34","0","0","964","638","0","6","0","94","81.460400","122","108.838100"
"247.","1592","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Техничка школа","Вука Караџића 13","11300","tehnickaskolasd1@mts.rs","(026)617388","http://tehnickasd.edu.rs","7163908","100359516","0000-00-00","Средње стручне школе","Државно","50","0","0","1283","243","2","12","0","132","126.540000","169","168.140000"
"248.","1593","Пожаревац","Подунавски управни округ","Смедерево - град","Смедерево","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Црвене армије 156","11300","skola@despot.edu.rs","(026)640930","http://www.despot.edu.rs","7352956","101925707","1991-06-24","Средње стручне школе","Државно","17","0","0","409","211","2","11","0","66","55.548000","95","83.548000"
"249.","1595","Ужице","Златиборски управни округ","Ариље","Ариље","Средња школа Свети Ахилије","Војводе Мишића 40","31230","sssahilije@ptt.rs","(031)3891427","http://sssvetiahilije.nasaskola.rs","7250819","100493968","1977-11-01","Средње стручне школе","Државно","18","0","0","410","190","2","2","0","53","40.624800","65","54.558100"
"250.","1596","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Гимназија Јосиф Панчић","Вука Караџића 32","31250","gjosifpancic@mts.rs","(031)865665","http://gimnazijabb.edu.rs","7221258","101000413","1965-09-01","Гимназије","Државно","12","0","0","323","178","0","0","0","37","23.683900","47","33.333900"
"251.","1597","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Техничка школа","Вука Караџића 32","31250","sstehskobab1@ptt.rs","(031)863265","http://www.tehnickaskolabb.edu.rs","7570678","101001230","1990-10-01","Средње стручне школе","Државно","15","0","0","415","172","3","1","0","48","33.756800","63","49.156800"
"252.","1598","Ужице","Златиборски управни округ","Косјерић","Косјерић (варош)","Техничка школа","Светосавска 39","31260","sstehskokos2@ptt.rs","(031)781645","http://www.tehnickaskolakosjeric.edu.rs","17049372","101088214","1996-03-01","Средње стручне школе","Државно","9","0","0","230","107","1","3","0","35","19.393500","43","27.893500"
"253.","1601","Ужице","Златиборски управни округ","Пожега","Пожега","Гимназија Свети Сава","Вука Караџића 6","31210","skola@gimnazijapozega.edu.rs","(031)811460","http://www.gimnazijapozega.edu.rs","7572913","100863808","1990-09-25","Гимназије","Државно","17","0","0","444","278","3","0","0","46","35.721300","53","45.721300"
"254.","1602","Ужице","Златиборски управни округ","Пожега","Висибаба","Пољопривредна школа са домом ученика Љубо Мићић","Болничка 2","31210","ssljumicpoz1@ptt.rs","(031)811131","http://poljoprivrednapozega.edu.rs","07112807","100860316","2016-08-29","Средње стручне школе","Државно","15","0","0","276","117","1","9","0","48","39.678100","84","80.178100"
"255.","1603","Ужице","Златиборски управни округ","Пожега","Пожега","Техничка школа","Вука Караџића 6","31210","tehnickaskolapozega@gmail.com","(031)714134","http://tehnickaskolapozega.edu.rs","7266642","100863267","1993-01-25","Средње стручне школе","Државно","20","0","0","542","170","3","0","0","59","46.480000","69","59.480000"
"256.","1604","Ужице","Златиборски управни округ","Прибој","Прибој","Гимназија Прибој","Немањина 37","31330","gimpriboj1@ptt.rs","332445180","http://","7111347","101207756","1971-05-11","Гимназије","Државно","12","0","0","307","195","0","0","0","33","22.818900","46","35.512200"
"257.","1605","Ужице","Златиборски управни округ","Прибој","Прибој","Машинско-електротехничка школа","Вука Караџића 5","31330","metpb@ptt.rs","(033)2452536","http://metpb.edu.rs","7351909","101205700","1986-06-27","Средње стручне школе","Државно","15","0","0","435","180","0","0","0","54","38.730400","65","52.730400"
"258.","1606","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Пријепољска гимназија","4. децембра 3","31300","prijepoljskag@mts.rs","33710026","http://www.prijepoljskagimnazija.edu.rs","7341423","100808395","1913-11-20","Гимназије","Државно","15","0","0","356","211","0","0","0","37","28.706800","50","43.206800"
"259.","1607","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Економско-трговинска школа","4. децембра 3","31300","ekon.skola1prijepolje@hotmail.com","(033)710018","http://www.etsprijepolje.rs","7575122","102216097","1990-09-01","Средње стручне школе","Државно","15","0","0","418","242","0","2","0","44","32.938600","60","48.438600"
"260.","1608","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Техничка школа","4. децембра 3","31300","tsprijepolje@eunet.rs","(033)710039","http://tsprijepolje.edu.rs","7341415","100808400","1918-09-02","Средње стручне школе","Државно","14","0","0","327","66","0","1","0","42","32.866500","57","49.366500"
"261.","1609","Ужице","Златиборски управни округ","Сјеница","Сјеница","Гимназија Јездимир Ловић","Саве Ковачевића 15","36310","gimnazijasjenica@yahoo.com","(020)741053","http://WWW.gimnazijasjenica.blogspot.rs","7192100","100947750","1987-03-27","Гимназије","Државно","16","0","0","400","256","0","0","0","47","32.440000","57","44.940000"
"262.","1610","Ужице","Златиборски управни округ","Сјеница","Сјеница","Техничко-пољопривредна школа","Саве Ковачевића 15","36310","direktor.tpss@gmail.com","(062)8863361","http://tpssjenica.com","7352107","100947741","1976-08-01","Средње стручне школе","Државно","21","0","0","586","222","0","0","0","81","62.827900","99","82.127900"
"263.","1611","Ужице","Златиборски управни округ","Ужице - град","Ужице","Ужичка гимназија","Трг Светог Саве 6","31000","uzickagimnazija@ptt.rs","(031)513140","http://www.uzickagimnazija.edu.rs","7279329","101624008","2003-03-03","Гимназије","Државно","31","0","0","888","565","0","0","0","76","60.801600","92","76.301600"
"264.","1612","Ужице","Златиборски управни округ","Ужице - град","Ужице","Економска школа","Трг Светог Саве 6","31000","direktor@eksue.edu.rs","(031)510506","http://www.eksue.edu.rs","7279345","101945421","1992-10-06","Средње стручне школе","Државно","24","0","0","685","493","1","0","0","63","49.133300","77","65.633300"
"265.","1613","Ужице","Златиборски управни округ","Ужице - град","Ужице","Медицинска школа","Немањина 148","31000","ssmedskouzi1@gmail.com","(031)3512694","http://www.medicinskaskolauzice.edu.rs","7579403","100600957","1990-09-01","Средње стручне школе","Државно","24","0","0","721","592","0","0","0","89","62.480000","111","86.730000"
"266.","1614","Ужице","Златиборски управни округ","Ужице - град","Ужице","Техничка школа Радоје Љубичић","Николе Пашића 17","31000","tgsf@mts.rs","(031)514272","http://www.tsradojeljubicicue.edu.rs","7156634","101545687","1991-10-02","Средње стручне школе","Државно","25","0","0","574","221","3","15","0","68","52.220000","84","70.720000"
"267.","1615","Ужице","Златиборски управни округ","Ужице - град","Ужице","Техничка школа","Трг Светог Саве 34","31000","tehnickaue@mts.rs","(031)512596","http://www.tehnickaue.edu.rs","7156758","101503670","1990-09-10","Средње стручне школе","Државно","36","0","0","906","107","0","21","0","99","83.110000","119","106.610000"
"268.","1616","Ужице","Златиборски управни округ","Чајетина","Чајетина","Угоститељско-туристичка школа","Сердара Мићића 5","31310","srednaskolcaj@ptt.rs","(031)3831184","http://srednjaskolacajetina.edu.rs","7282923","101072041","1984-09-10","Средње стручне школе","Државно","13","0","0","319","162","0","1","0","38","29.172600","48","40.472600"
"269.","1617","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Ваљевска гимназија","Вука Караџића 3","14000","gimvaljevo@gmail.com","(014)221622","http://valjevskagimnazija.edu.rs","7098286","100078799","1870-11-23","Гимназије","Државно","32","0","0","791","503","0","0","0","89","68.119800","104","87.019800"
"270.","1618","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Економска школа Ваљево","Даничићева 1","14000","ekonomska.valjevo@gmail.com","(014)221462","http://ekova.edu.rs","7096887","101898865","1939-05-16","Средње стручне школе","Државно","26","0","0","708","455","2","9","0","75","53.720000","96","74.337200"
"271.","1619","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Медицинска школа Др Миша Пантић","Карађорђева 118","14000","medicinskavaljevo@gmail.com","(014)221265","http://www.medicinskaskolavaljevo.edu.rs","7096771","100067835","1958-07-17","Средње стручне школе","Државно","23","0","0","674","554","0","3","0","87","62.171500","100","77.929000"
"272.","1620","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Техничка школа Ваљево","Косте Абрашевића 2","14000","tehnskola@sbb.rs","(014)222098","http://tehnciskaskolava.rs","7097000","100075878","1939-10-05","Средње стручне школе","Државно","32","0","0","938","217","2","11","0","100","81.174600","123","109.274600"
"273.","1621","Ваљево","Колубарски управни округ","Ваљево - град","Ваљево","Пољопривредна школа са домом ученика Ваљево","Владике Николаја 54","14000","poljskolava@mts.rs","(014)221557","http://www.poljoprivrednaskola.edu.rs","7096933","101499305","1921-11-25","Средње стручне школе","Државно","24","0","0","588","267","1","15","0","62","53.610000","105","97.110000"
"274.","1623","Ваљево","Колубарски управни округ","Лајковац","Лајковац (варош)","Средња школа 17. септембар","Вука Караџића 19","14224","skolalajkovac@gmail.com","(014)3431145","http://www.tehnika.edu.rs","7283911","101344404","1979-04-26","Средње стручне школе","Државно","15","0","0","407","136","0","4","0","47","35.175000","64","52.675000"
"275.","1624","Ваљево","Колубарски управни округ","Љиг","Љиг","Средња школа 1300 каплара - Љиг","Војводе Мишића 26","14240","skola1300kaplaraljig@gmail.com","143445173","http://1300kaplaraljig.edu.rs","7099355","101287183","1963-05-07","Средње стручне школе","Државно","11","0","0","267","152","2","3","0","34","22.660000","43","32.660000"
"276.","1625","Ваљево","Колубарски управни округ","Уб","Уб","Гимназија Бранислав Петронијевић","Вука Караџића 15","14210","gimbpetronijevic@gmail.com","(014)411149","http://www.gimnazijaub.rs","7593040","101351121","1990-09-01","Гимназије","Државно","8","0","0","171","110","0","0","0","25","14.990000","31","21.740000"
"277.","1626","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Гимназија Вук Караџић","Гимназијска 5","15300","gimnazijavuk@mts.rs","(015)878635","http://loznickagimnazija.edu.rs","7171447","101561959","1871-08-16","Гимназије","Државно","27","0","0","695","444","0","1","0","65","53.900000","81","69.400000"
"278.","1627","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Средња економска школа","трг Јована Цвијића 4","15300","esloznica1955@gmail.com","(015)876055","http://www.esloznica.rs","7168357","101189955","1993-01-13","Средње стручне школе","Државно","34","0","0","896","572","0","6","0","99","75.260000","119","97.240000"
"279.","1628","Ваљево","Мачвански управни округ","Лозница - град","Лозница","Техничка школа","Tрг Јована Цвијића 3","15300","tehnicka@ptt.rs","(015)876016","http://www.tehnickalo.edu.rs","7120443","101190557","2003-03-21","Средње стручне школе","Државно","28","0","0","813","86","0","3","0","69","58.140000","86","76.640000"
"280.","1629","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Хемијско-технолошка школа","Ћирила и Методија 30","37000","htsks@ptt.rs","(037)439741","http://htsks.rs","7354525","100481238","1990-09-22","Средње стручне школе","Државно","33","0","0","716","379","4","27","0","97","79.546300","119","104.127700"
"281.","1630","Крушевац","Расински управни округ","Крушевац - град","Крушевац","Прва техничка школа","Ћирила и Методија 26","37000","mesmesks@gmail.com","(037)448810","http://prva-tehnicka.edu.rs","7352719","100471507","0000-00-00","Средње стручне школе","Државно","40","0","0","1073","105","0","20","0","118","97.170000","142","125.170000"
"282.","1632","Крушевац","Расински управни округ","Трстеник","Трстеник","Гимназија Вук Караџић","Вука Караџића 11","37240","gimvkts@mts.rs","(037)711844","http://vukts.edu.rs","7352581","101308642","1990-06-05","Гимназије","Државно","15","0","0","351","212","0","0","0","40","28.539900","49","38.042200"
"283.","1633","Крушевац","Расински управни округ","Трстеник","Трстеник","Техничка школа","Вука Караџића 11","37240","tehnickats@gmail.com","(037)711842","http://www.tehnickats.edu.rs","7352590","101306430","1990-06-05","Средње стручне школе","Државно","29","0","0","780","206","1","4","0","80","66.272200","99","86.522200"
"284.","1634","Крушевац","Расински управни округ","Варварин","Варварин","Средња школа","Светог Саве 6","37260","sskolavarvarin@gmail.com","(037)788369","http://ssv.edu.rs","7175671","101144391","1965-09-01","Средње стручне школе","Државно","17","0","0","382","164","0","15","0","49","35.120000","61","48.640000"
"285.","1635","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Гимназија Таковски устанак","Милоша Великог 11","32300","gimnazgm@eunet.rs","(032)711180","http://www.gimnazijagm.edu.rs","7177941","102291724","1962-03-20","Гимназије","Државно","16","0","0","416","250","1","1","0","42","29.720000","53","42.720000"
"286.","1636","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Економско-трговачка школа Књаз Милош","Вука Караџића 1","32300","etsgm.knjazmilos@mts.rs","(032)713322","http://etsgm.edu.rs","7578130","102193353","1990-06-01","Средње стручне школе","Државно","16","0","0","409","268","0","9","0","48","32.550000","59","43.200000"
"287.","1637","Чачак","Моравички управни округ","Горњи Милановац","Горњи Милановац","Техничка школа Јован Жујовић","Вука Караџића 3","32300","tehgmil@mts.rs","(032)713320","http://www.tehnickagm.edu.rs","7177135","102156726","1961-05-15","Средње стручне школе","Државно","16","0","0","384","68","3","7","0","44","33.280000","64","53.410000"
"288.","1638","Чачак","Моравички управни округ","Чачак - град","Чачак","Гимназија","Жупана Страцимира 1","32000","nenatolic@gmail.com","(032)322397","http://www.gimnazija-cacak.edu.rs","7182074","101551804","1837-10-01","Гимназије","Државно","38","0","0","1113","711","0","0","0","83","71.960000","106","96.460000"
"289.","1639","Чачак","Моравички управни округ","Чачак - град","Чачак","Економска школа","Господар Јованова 1","32000","direktor@ekonomska-cacak.edu.rs","(032)322345","http://www.ekonomska-cacak.edu.rs","7182848","100897710","1948-08-17","Средње стручне школе","Државно","27","0","0","778","537","0","0","0","74","57.500000","88","74.000000"
"290.","1640","Чачак","Моравички управни округ","Чачак - град","Чачак","Медицинска школа","Епископа Никифора Максимовића 8","32100","medicinskaskola@mts.rs","(032)347775","http://www.medicinska-cacak.edu.rs","7182783","101110648","1958-06-12","Средње стручне школе","Државно","20","0","0","612","515","0","0","0","95","54.700000","108","69.700000"
"291.","1641","Чачак","Моравички управни округ","Чачак - град","Чачак","Техничка школа","Цара Душана 20","32000","catehs032@gmail.com","(032)322229","http://www.tehnickacacak.edu.rs","7182694","100892011","1960-06-28","Средње стручне школе","Државно","33","0","0","932","199","0","2","0","82","76.590000","102","99.090000"
"292.","1642","Чачак","Моравички управни округ","Чачак - град","Чачак","Машинско-саобраћајна школа","др Драгише Мишовића 146","32100","info@mssca.edu.rs","(032)372560","http://www.mssca.edu.rs","7182139","101108436","1965-12-30","Средње стручне школе","Државно","41","0","0","1093","257","0","3","0","113","99.310000","138","127.060000"
"293.","1643","Чачак","Моравички управни округ","Ивањица","Ивањица","Гимназија","13. Септембар 58","32250","ivanjickagimnazija@mts.rs","32664646","http://www.gimnazija-ivanjica.edu.rs","7249195","100933905","1964-10-19","Гимназије","Државно","19","0","0","503","311","1","0","0","55","37.518900","70","54.318900"
"294.","1644","Чачак","Моравички управни округ","Ивањица","Ивањица","Техничка школа","Мићe Матовића 2","32250","tskoliva@eunet.rs","(032)661000","http://tehnickaskola.rs","7339518","100931022","1985-07-02","Средње стручне школе","Државно","17","0","0","396","190","0","10","0","46","37.809800","59","52.309800"
"295.","1645","Чачак","Моравички управни округ","Лучани","Гуча (варошица)","Средња школа Драгачево","Републике бб","32230","direktorskoladragacevo@gmail.com","(032)855554","http://skoladragacevo.edu.rs","7261322","101265575","1958-10-29","Средње стручне школе","Државно","16","0","0","360","173","0","6","1","49","35.270000","68","56.370000"
"296.","1646","Краљево","Рашки управни округ","Краљево - град","Краљево","Гимназија","Доситејева 44","36000","gimnazija.kraljevo@gmail.com","(036)319760","http://www.gimnazijakraljevo.com","7102453","100242078","1909-07-16","Гимназије","Државно","41","0","0","1032","619","0","0","0","109","85.356200","126","105.856200"
"297.","1647","Краљево","Рашки управни округ","Краљево - град","Краљево","Економско-трговинска школа","Доситејева 46.","36100","ekonomskotrgovackakv@mts.rs","(036)382047","http://www.ets-kraljevo.edu.rs","7353928","100240371","1956-03-01","Средње стручне школе","Државно","19","0","0","557","336","0","2","0","53","39.890000","67","54.890000"
"298.","1648","Краљево","Рашки управни округ","Краљево - град","Краљево","Медицинска школа","Доситејева 46 г","36000","infomskv@gmail.com","(036)382548","http://www.medinkv.edu.rs","7588488","101256507","1958-09-25","Средње стручне школе","Државно","20","0","0","598","484","0","0","0","86","53.237800","101","69.847800"
"299.","1649","Краљево","Рашки управни округ","Краљево - град","Краљево","Машинска техничка школа 14. октобар","Индустријска 21","36000","mtskv@mts.rs","(036)312433","http://www.mtskv.edu.rs","7237685","100241235","1961-07-28","Средње стручне школе","Државно","24","0","0","638","142","0","11","0","68","52.970000","89","73.790000"
"300.","1650","Краљево","Рашки управни округ","Краљево - град","Краљево","Електро-саобраћајна техничка школа Никола Тесла","Доситејева 44б","36000","estsnikolatesla@mts.rs","(036)312601","http://www.estsnikolatesla.edu.rs","7607202","101775518","1991-01-01","Средње стручне школе","Државно","26","0","0","749","120","1","0","0","74","58.141100","89","75.981100"
"301.","1651","Краљево","Рашки управни округ","Краљево - град","Краљево","Пољопривредно-хемијска школа Др Ђорђе Радић","Миомира Бркушанца Мишкa 2л","36100","ratarica.direktor@gmail.com","(036)359970","http://ratarica.edu.rs","7101007","100239919","1882-06-28","Средње стручне школе","Државно","27","0","0","653","384","0","19","0","80","63.710000","107","92.710000"
"302.","1652","Краљево","Рашки управни округ","Краљево - град","Краљево","Шумарска школа","Карађорђева 262","36100","sumarska@gmail.com","(036)352235","http://www.sumarska.edu.rs","7100957","101071637","1899-10-20","Средње стручне школе","Државно","20","0","0","480","131","1","2","0","68","49.123000","84","65.773000"
"303.","1654","Краљево","Рашки управни округ","Врњачка Бања","Врњачка Бања","Гимназија","Хероја Чајке 18","36210","gimnazija.vrnjackabanja@gmail.com","(036)611379","http://www.gvb.edu.rs","6876170","100915957","1993-07-28","Гимназије","Државно","16","0","0","376","227","0","1","0","40","29.820000","52","42.520000"
"304.","1655","Краљево","Рашки управни округ","Врњачка Бања","Врњачка Бања","Угоститељско-туристичка школа са домом ученика","Хероја Чајке 18","36210","ugostturskola@ptt.rs","(036)611379","http://www.uts.edu.rs","7176376","100920813","1993-07-28","Средње стручне школе","Државно","25","0","0","696","340","0","8","0","71","58.980000","117","109.280000"
"305.","1656","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Гимназија","Вука Караџића 7","36300","gimnazijanp@yahoo.com","(020)331470","http://gimnazijanp.edu.rs","7195168","101785294","1913-11-20","Гимназије","Државно","44","0","0","1260","784","0","0","0","105","90.205500","128","114.335500"
"306.","1657","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Економско-трговинска школа","28. Новембра 163","36300","nsekonom@gmail.com","(020)323770","http://ekonomskanovipazar.edu.rs","7192002","101784322","1955-05-20","Средње стручне школе","Државно","43","0","0","1289","749","0","1","0","114","95.150000","135","119.650000"
"307.","1658","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Школа за дизајн текстила и коже","Вука Караџића бб","36300","skolazadizajnnp@yahoo.com","(020)312799","http://www.skolazadizajn.edu.rs","7356404","101795281","2006-05-15","Средње стручне школе","Државно","33","0","0","749","377","14","0","0","99","84.001200","119","105.001200"
"308.","1659","Краљево","Рашки управни округ","Нови Пазар - град","Нови Пазар","Техничка школа","Вука Караџића бб","36300","tehnickanp1@mts.rs","311945","http://tehnickanp.edu.rs","7356374","101785114","1993-04-05","Средње стручне школе","Државно","32","0","0","809","77","0","0","0","115","94.651100","134","116.651100"
"309.","1660","Краљево","Рашки управни округ","Рашка","Рашка","Гимназија","Милуна Ивановића 2","36350","direktor@gimnazijaraska.edu.rs","(036)736043","http://gimnazijaraska.edu.rs","7637063","101273406","1991-04-08","Гимназије","Државно","15","0","0","329","183","0","0","0","48","29.434000","57","39.334000"
"310.","1661","Краљево","Рашки управни округ","Рашка","Рашка","Средња школа Краљица Јелена","Омладинска 2","36350","masinska.ras@gmail.com","(036)738210","http://www.sskraljicajelena.edu.rs","7276966","101609126","1991-04-08","Средње стручне школе","Државно","16","0","16","351","154","0","16","0","50","31.260000","61","45.720000"
"311.","1662","Краљево","Рашки управни округ","Тутин","Тутин","Гимназија","7. јула 18","36320","gimnazijatutin@gmail.com","(020)811148","http://gimnazijatutin.rs","7175841","102021431","1994-03-11","Гимназије","Државно","19","0","0","530","285","0","0","0","52","39.794200","71","52.634200"
"312.","1663","Краљево","Рашки управни округ","Тутин","Тутин","Техничка школа","7. јули 18","36320","tehtutin1@gmail.com","(020)811160","http://www.tehtutin.edu.rs","7350767","102021423","1988-01-01","Средње стручне школе","Државно","30","0","0","645","182","5","0","0","82","63.607700","105","83.737700"
"313.","1664","Зајечар","Борски управни округ","Бор","Бор","Гимназија Бора Станковић","Зелени булевар 26","19210","gimnazijabor@mts.rs","(030)432271","http://gimnazija-bor.edu.rs","7414269","100628026","1990-06-05","Гимназије","Државно","12","0","0","285","206","0","0","0","33","23.063300","44","34.563300"
"314.","1665","Зајечар","Борски управни округ","Бор","Бор","Економско-трговинска школа","Београдска 10","19210","etsbor@mts.rs","(030)2456310","http://etsbor.edu.rs","7351771","102117761","1990-06-15","Средње стручне школе","Државно","14","0","0","333","260","0","9","0","48","31.883200","59","43.883200"
"315.","1666","Зајечар","Борски управни округ","Бор","Бор","Техничка школа","Београдска 10","19210","tehnickaskolabor@mts.rs","(030)2100024","http://www.tsbor.edu.rs","7264224","100626211","1946-10-09","Средње стручне школе","Државно","11","0","0","239","107","0","8","0","40","27.435300","51","39.135300"
"316.","1667","Зајечар","Борски управни округ","Бор","Бор","Машинско-електротехничка школа","Зелени булевар 24","19210","mes@mesbor.edu.rs","(030)456022","http://mesbor.edu.rs","7264259","100628729","1990-06-05","Средње стручне школе","Државно","23","0","0","637","136","0","0","0","65","53.153100","80","70.118500"
