"#","ИД установе","Школска управа","Округ","Општина","Насеље","Назив установе","Адреса","Поштански број","Адреса електронске поште","Телефон","Сајт","Матични број","ПИБ","Датум оснивања","Примарна делатност","Власништво","Број одељења","Број комбинованих одељења","Број специјалних одељења","Број ученика","Број девојчица","Број ученика - ИОП 1","Број ученика - ИОП 2","Број ученика - ИОП 3","Број наставника - без замена","Укупна норма наставникаа - без замена","Број запослених - без замена","Укупна норма запослених- без замена"
"717.","755","Јагодина","Поморавски управни округ","Параћин","Сикирица","Бранко Крсмановић","NULL","35256","bksikirica@gmail.com","(035)8548514","http://osbrankokrsmanovic.edu.rs","7116004","100876206","1978-06-13","Основна школа","Државно","26","0","0","310","161","10","2","0","45","36.116600","65","57.316600"
"718.","756","Јагодина","Поморавски управни округ","Рековац","Белушић","Душан Поповић","NULL","35263","skolabelusic@yahoo.com","(035)8413126","https://www.skolabelusic.edu.rs","7115466","101284289","0000-00-00","Основна школа","Државно","30","0","0","212","88","9","2","0","48","43.363200","83","73.093200"
"719.","757","Јагодина","Поморавски управни округ","Рековац","Рековац","Светозар Марковић","Светозара Марковића 4","35260","skolarekovac@mts.rs","(035)8411059","http://www.os-svetozarmarkovic-rekovac.edu.rs","7115458","102121557","1991-06-27","Основна школа","Државно","25","0","0","200","95","2","1","0","45","37.326600","75","61.776600"
"720.","758","Јагодина","Поморавски управни округ","Свилајнац","Свилајнац","Јован Јовановић Змај","Алеја Зорана Ђинђића 6","35210","oszmajsv@gmail.com","(035)312321","http://oszmajsv.edu.rs","7124490","101474245","1965-01-29","Основна школа","Државно","57","0","0","1014","506","43","17","0","88","80.700300","127","122.866900"
"721.","759","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","Ђура Јакшић","Карађорђева 46","35230","info@djurajaksic.cuprija.edu.rs","(035)8470555","http://djurajaksiccuprija.edu.rs","7166869","101369871","1889-12-27","Основна школа","Државно","33","0","0","620","305","5","1","0","59","45.950000","77","65.440000"
"722.","760","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","13. октобар","Алексе Шантића бб","35230","info@13oktobar.cuprija.edu.rs","(035)8472477","https://13oktobar.cuprija.edu.rs/","7166834","101370769","1965-09-01","Основна школа","Државно","35","0","0","592","285","6","2","0","61","49.860000","86","75.930000"
"723.","761","Јагодина","Поморавски управни округ","Ћуприја","Ћуприја","Вук Караџић","Кнеза Милоша 96","35230","osvkcup@hotmail.com","(035)8470809","http://vukcuprija.edu.rs","7166826","101527159","1973-12-27","Основна школа","Државно","35","0","0","519","246","11","38","0","59","49.750000","78","68.900000"
"724.","762","Зајечар","Борски управни округ","Бор","Кривељ","Ђура Јакшић","Кривељ бб","19219","osdjurajk@gmail.com","(030)473114","https://www.facebook.com/OsnovnaSkolaDjuraJaksicKrivelj?fref=ts","7130104","100567907","1852-01-01","Основна школа","Државно","11","0","0","96","48","7","4","0","26","14.513400","40","28.443400"
"725.","763","Зајечар","Борски управни округ","Бор","Бор","3. октобар","3.октобар 71","19210","osnovnaskola3oktobar@gmail.com","(030)433268","https://www.facebook.com/OStrecioktobar","7130112","100499676","2016-12-25","Основна школа","Државно","29","0","0","694","331","18","7","0","55","42.724700","73","62.224700"
"726.","764","Зајечар","Борски управни округ","Бор","Бор","Душан Радовић","краља Петра Првог 10","19210","osdusanradovicbor@gmail.com","30432469","http://www.оsdusanradovicbor.edu.rs","7308906","100627605","1981-06-17","Основна школа","Државно","25","0","0","575","274","6","1","0","47","35.566600","66","54.066600"
"727.","765","Зајечар","Борски управни округ","Бор","Бор","Бранко Радичевић","Моше Пијаде 31","19210","osbrankoradicevic@mts.rs","(030)428881","http://branko-bor.edu.rs","7130082","100500020","1955-06-30","Основна школа","Државно","28","0","0","528","281","57","6","0","49","36.368900","70","56.968900"
"728.","766","Зајечар","Борски управни округ","Бор","Бор","Свети Сава","Моше Пијаде 31","19210","ossvetisavabor@ptt.rs","(030)421688","https://ossvetisava.wordpress.com","7130139","100499692","1970-04-28","Основна школа","Државно","21","0","0","387","173","19","2","0","40","27.902700","58","45.402700"
"729.","767","Зајечар","Борски управни округ","Бор","Бор","Вук Караџић","Моше Пијаде 6","19210","osvukkaradzicbor@gmail.com","(030)424588","http://www.osvukbor.wordpress.com","7183321","100500548","1965-06-30","Основна школа","Државно","23","0","0","419","208","31","0","0","45","30.363400","63","47.113400"
"730.","768","Зајечар","Борски управни округ","Бор","Брестовац","Станоје Миљковић","Маршала Тита 199","19229","osstanoje@gmail.com","(030)436860","http://www.osstanojemiljkovic.nasaskola.rs","7130066","100567589","1965-06-30","Основна школа","Државно","23","0","0","208","96","3","1","0","44","31.938800","64","52.238800"
"731.","769","Зајечар","Борски управни округ","Бор","Злот","Петар Радовановић","Трг Петра Радовановића бб","19215","ospetarradovanovic@gmail.com","(030)2561022","https://sites.google.com/site/ospetarradovanoviczlot","7130074","100569381","1839-12-01","Основна школа","Државно","15","0","0","211","118","11","2","0","30","19.266600","45","33.766600"
"732.","770","Зајечар","Борски управни округ","Кладово","Кладово","Вук Караџић","22. септембар 13","19320","os.kladovo@gmail.com","(019)801406","http://vukkladovo.nasaskola.rs","7129696","100697522","1964-12-23","Основна школа","Државно","38","0","0","808","387","15","7","0","68","55.449900","98","84.899900"
"733.","771","Зајечар","Борски управни округ","Кладово","Брза Паланка","Стефанија Михајловић","Првомајска 1","19323","osbrza@kladovonet.com","(019)3100712","http://osstefanijamihajlovic.nasaskola.rs","7129688","100694987","1966-07-20","Основна школа","Државно","12","0","0","86","35","3","3","0","26","16.272100","46","33.272100"
"734.","772","Зајечар","Борски управни округ","Кладово","Корбово","Хајдук Вељко","Светосавска 11","19329","oskorbovo@gmail.com","(019)814255","http://oshajdukveljkokorbovo.nasaskola.rs","7129718","100697889","1964-12-23","Основна школа","Државно","11","0","0","70","26","3","0","0","20","13.222100","33","25.222100"
"735.","773","Зајечар","Борски управни округ","Кладово","Подвршка","Љубица Јовановић Радосављевић","Маршала Тита 16","19321","ospodvrska@gmail.com","(019)806003","http://ospodvrska.nasaskola.rs","7129700","100696144","1964-12-23","Основна школа","Државно","8","0","0","53","27","1","3","0","19","10.022100","28","17.970800"
"736.","774","Зајечар","Борски управни округ","Кладово","Текија","Светозар Радић","Коче Анђелковића 65","19325","ostekija@ptt.rs","(019)804120","http://ostekija.nasaskola.rs","7129726","100694309","0000-00-00","Основна школа","Државно","6","0","0","46","22","0","1","0","20","9.722100","27","17.432100"
"737.","775","Зајечар","Борски управни округ","Мајданпек","Доњи Милановац","Вук Караџић","Стевана Мокрањца 14","19220","osvukkaradzicdmil@mts.rs","(030)590142","http://www.osvukdmil.edu.rs","7128126","100625108","1973-12-19","Основна школа","Државно","24","0","0","319","154","3","10","0","38","33.394500","63","58.494500"
"738.","776","Зајечар","Борски управни округ","Мајданпек","Мајданпек","Велимир Маркићевић","Светог Саве 39","19250","osvmpek@gmail.com","(030)581138","http://staraskola-mpek.edu.rs","7128118","100987595","1962-07-14","Основна школа","Државно","20","0","0","354","160","1","14","0","41","26.882900","53","41.112900"
"739.","777","Зајечар","Борски управни округ","Мајданпек","Мајданпек","12. септембар","Пролетерска 49","19250","os12sept@gmail.com","(030581057","https://www.facebook.com/groups/354268054756212","7128134","100987128","1970-09-15","Основна школа","Државно","8","0","0","117","68","1","2","0","24","12.172000","36","22.672000"
"740.","778","Зајечар","Борски управни округ","Мајданпек","Рудна Глава","Бранко Перић","Рудна Глава бб","19257","rudosbp@gmail.com","(030)2585650","http://www.rudosbp.edu.rs","7128142","100624228","1973-12-19","Основна школа","Државно","13","0","0","156","76","1","2","0","26","17.622000","40","31.122000"
"741.","779","Зајечар","Борски управни округ","Мајданпек","Влаоле","Миладин Бучановић","Влаове бб","19256","osvlaole@gmail.com","(030)576316","http://miladinbucanovic.blogspot.com","7300255","100987659","1980-06-26","Основна школа","Државно","9","0","0","58","37","0","0","0","20","10.822000","29","19.822000"
"742.","780","Зајечар","Борски управни округ","Неготин","Рајац","Момчило Ранковић","Вука Караџића 43","19314","os.momcilor@yahoo.com","(019)554076","NULL","7129165","100774278","1972-02-01","Основна школа","Државно","7","0","0","24","12","1","2","1","18","9.722100","27","17.222100"
"743.","781","Зајечар","Борски управни округ","Неготин","Кобишница","Стеван Мокрањац","Слободана Пенезића 59","19316","balaneskos@yahoo.com","(019)550015","http://osmokranjac.com","7129149","100773890","1990-05-17","Основна школа","Државно","8","0","0","72","31","0","1","0","19","11.222100","31","21.222100"
"744.","782","Зајечар","Борски управни округ","Неготин","Штубик","Хајдук Вељко","Трг слободе 8","19303","oshajdukveljko@gmail.com","(019)555008","http://oshajdukveljkostubik.nasaskola.rs","7129106","100773865","1965-12-30","Основна школа","Државно","14","0","0","124","55","5","1","0","24","14.872100","36","26.142100"
"745.","783","Зајечар","Борски управни округ","Неготин","Јабуковац","Јован Јовановић Змај","Ћирила и Методија 23","19304","osjjzmaj@mts.rs","(019)558003","http://www.osjabukovac.edu.rs","7129084","100777196","1965-12-30","Основна школа","Државно","8","0","0","62","32","0","1","0","17","10.372100","28","20.872100"
"746.","784","Зајечар","Борски управни округ","Неготин","Уровица","Бранислав Нушић","Нушићева 48","19305","branislav.nusic.urovica@gmail.com","(019)557264","http://osnovneskole.edukacija.rs/drzavne/negotin/os-branislav-nusic-urovica","7129092","100565329","1965-12-30","Основна школа","Државно","8","0","0","43","16","7","5","0","21","9.722100","32","18.722100"
"747.","785","Зајечар","Борски управни округ","Неготин","Душановац","Павле Илић Вељко","Неготинска 2","19335","ospavleilicveljko@gmail.com","(019)560484","http://osdusanovac.edu.rs","7341105","100773873","1985-06-24","Основна школа","Државно","8","0","0","46","25","0","0","0","20","10.922100","31","20.422100"
"748.","786","Зајечар","Борски управни округ","Неготин","Неготин","Бранко Радичевић","Интернационалних бригада 57","19300","osbranko.ng@gmail.com","(019)544020","http://www.osbradicevicnegotin.nasaskola.rs","7314191","100565415","1982-01-05","Основна школа","Државно","22","0","0","444","202","13","1","0","43","32.227400","65","52.227400"
"749.","787","Зајечар","Борски управни округ","Неготин","Неготин","Вук Караџић","Лоле Рибара 1","19300","osvuk@ptt.rs","(019)542374","http://www.osvuk.edu.rs","7129114","100773881","1824-09-01","Основна школа","Државно","26","0","0","576","308","11","3","1","48","36.916400","65","53.216400"
"750.","788","Зајечар","Борски управни округ","Неготин","Неготин","Вера Радосављевић","Јована Јовановића Змаја бб","19300","osvera.r@gmail.com","(019)545085","http://osvera.edu.rs","7129122","100773849","1964-06-03","Основна школа","Државно","20","0","0","352","180","10","4","0","38","29.258700","57","46.728700"
"751.","789","Зајечар","Борски управни округ","Неготин","Прахово","Павле Илић Вељко","Кнез Михајлова 1","19330","osprahovo@gmail.com","193524050","http://www.osprahovo.edu.rs","7129157","100565337","1878-05-20","Основна школа","Државно","11","0","0","72","35","1","0","0","29","15.594100","41","25.094100"
"752.","790","Зајечар","Зајечарски управни округ","Бољевац","Сумраковац","Ђура Јакшић","Сумраковац бб","19376","ossumrakovac@ptt.rs","(030)2150022","https://www.osdjurajaksic.rs/?fbclid=IwAR1ozZ1ARslfnMRP6cmDHdNDv0aFSNJ5F8uBc57G_cfqiy44Jt1KSE8ato4","7127430","100703900","1972-10-19","Основна школа","Државно","12","0","0","104","24","6","6","0","28","16.748400","41","28.744900"
"753.","791","Зајечар","Зајечарски управни округ","Бољевац","Бољевац","9. српска бригада","Кнеза Милоша 11","19370","osboljevac@gmail.com","(030)463343","http://www.9srpskabrigada.wordpress.com","7127413","100705735","1841-04-23","Основна школа","Државно","25","0","0","384","195","15","4","0","48","35.826100","74","57.826100"
"754.","792","Зајечар","Зајечарски управни округ","Бољевац","Подгорац","Ђорђе Симеоновић","Нема улице бб","19233","ospod@ptt.rs","(030)2460294","http://osdjordjesimeonovic.edu.rs","7127421","100704488","1968-05-10","Основна школа","Државно","12","0","0","171","72","2","3","0","32","17.919500","45","27.609500"
"755.","793","Зајечар","Зајечарски управни округ","Зајечар - град","Велики Извор","Вук Караџић","Изворски пут бб","19206","osvukviz@gmail.com","(019)467115","https://sites.google.com/site/vukkaradzicprivremeno","7147775","101757604","1965-02-27","Основна школа","Државно","12","0","0","97","55","5","4","0","25","15.122000","38","26.122000"
"756.","794","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Ђура Јакшић","Лењинова 1","19000","osdjurajaksic@gmail.com","(019)3400295","http://www.osdjurajaksiczajecar.edu.rs","7147732","101331043","1960-04-16","Основна школа","Државно","29","0","0","535","257","20","18","0","55","40.521900","75","61.601900"
"757.","795","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Љуба Нешић","Доситејева 2","19000","skolaljubanesic@gmail.com","(019)423656","http://www.osljubanesic.edu.rs","7148194","101330325","1951-07-23","Основна школа","Државно","28","0","0","649","303","4","3","0","52","38.672100","68","55.738800"
"758.","796","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Хајдук Вељко","Добривоја Радосављевића Бобија бб","19000","hajdukveljkozajecar@gmail.com","(019)440116","https://hajdukveljkozajecar.edu.rs","7334028","101329794","1984-06-20","Основна школа","Државно","35","0","0","591","293","7","14","0","58","46.713000","82","70.094600"
"759.","797","Зајечар","Зајечарски управни округ","Зајечар - град","Мали Јасеновац","15. мај","Мали Јасеновац бб","19209","os15maj@gmail.com","(019)451211","http://wwww.os15maj.edu.rs","6128254","100588066","1966-02-27","Основна школа","Државно","8","0","0","27","7","0","0","0","20","10.372100","29","17.872100"
"760.","798","Зајечар","Зајечарски управни округ","Зајечар - град","Рготина","Јеремија Илић Јегор","Светосавска 2","19214","osjegor.rgotina4@gmail.com","(019)466119","http://www.osrgotina.edu.rs","7147708","100576670","2013-10-05","Основна школа","Државно","9","0","0","98","41","1","2","0","21","12.922100","30","21.421100"
"761.","799","Зајечар","Зајечарски управни округ","Зајечар - град","Грљан","Владислав Петковић Дис","Зорана Радмиловића 10","19341","grljan@ptt.rs","19468310","http://","7147694","101331703","1991-12-27","Основна школа","Државно","14","0","0","176","78","3","0","0","33","18.747100","49","32.747100"
"762.","800","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Љубица Радосављевић Нада","Ђердапска бб","19000","nastavnici.ljubica@gmail.com","(019)442112","http://osljubicaradosavljevicnada.nasaskola.rs","7147821","101331512","1972-08-31","Основна школа","Државно","24","0","0","526","241","14","10","0","44","32.222100","65","51.502100"
"763.","801","Зајечар","Зајечарски управни округ","Зајечар - град","Зајечар","Десанка Максимовић","Доситејева 4","19000","skoladesanka@gmail.com","(019)421847","http://osdesankazajecar.edu.rs","7147724","101328611","1966-10-25","Основна школа","Државно","20","0","0","485","232","2","2","0","41","27.078800","55","39.578800"
"764.","802","Зајечар","Зајечарски управни округ","Зајечар - град","Вражогрнац","Доситеј Обрадовић","Вражогрнац бб","19312","19312dositej@gmail.com","(019)460203","http://www.sites.google.com/site/dositejobradovicvrazogrnac","7147767","100577172","1965-02-27","Основна школа","Државно","12","0","0","114","51","3","6","0","28","14.608800","41","25.608800"
"765.","803","Зајечар","Зајечарски управни округ","Зајечар - град","Салаш","Јован Јовановић Змај","Маршала Тита 35","19224","jjzmajsalas@gmail.com","(019)470126","http://osjjzmajsalas.nasaskola.rs","7147716","101329296","1997-10-15","Основна школа","Државно","18","0","0","134","69","4","3","0","28","18.862100","52","38.362100"
"766.","804","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Дубрава","Ивана Милутиновића бб","19350","osdubravak@mts.rs","(019)738183","http://osdubravaknjazevac.rs","6950841","100407439","1993-08-24","Основна школа","Државно","28","0","0","383","188","1","3","0","56","42.590000","83","68.430000"
"767.","805","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Вук Караџић","Омладинска 3","19350","knjazevac731@mts.rs","193731324","http://www.osvuk.com","7127766","100407836","1972-06-30","Основна школа","Државно","25","0","0","492","243","20","6","0","44","37.126700","62","56.126700"
"768.","806","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Димитрије Тодоровић Каплар","Лоле Рибара 12","19350","oskaplar@yahoo.com","(019)731004","http://oskaplar.com","7127758","100407300","1962-11-26","Основна школа","Државно","25","0","0","534","261","29","2","0","65","52.893200","94","81.993200"
"769.","807","Зајечар","Зајечарски управни округ","Књажевац","Књажевац","Младост","Боре Станковића 60","19350","osmladost@gmail.com","(019)731620","http://www.osmladost.edu.rs","17106759","100633973","1995-11-15","Основна школа","Државно","8","0","0","73","31","24","0","0","22","10.124600","30","18.124600"
"770.","808","Зајечар","Зајечарски управни округ","Сокобања","Сокобања","Митрополит Михаило","Митрополита Михаила 5","18230","osmitmihsb@yahoo.com","(018)830822","http://osmitmih.edu.rs","7215835","102023716","1955-05-25","Основна школа","Државно","64","0","0","866","421","17","14","0","94","84.441800","142","128.401800"
"771.","809","Ужице","Златиборски управни округ","Ариље","Латвица","Јездимир Трипковић","Дивљака бб","31236","oslatvica@gmail.com","(031)3899357","http://www.latvica.znanje.info","7110880","100787524","1963-06-28","Основна школа","Државно","19","0","0","242","120","7","1","0","37","26.861100","50","40.361100"
"772.","810","Ужице","Златиборски управни округ","Ариље","Крушчица","Ратко Јовановић","нема нема","31230","oskruscica@gmail.com","(031)3898006","http://www.oskruscica.edu.rs","7110871","101486536","1964-08-28","Основна школа","Државно","14","0","0","80","30","1","0","0","25","20.905400","37","32.905400"
"773.","811","Ужице","Златиборски управни округ","Ариље","Бреково","Бреково","Бреково ББ","31234","skolabrekovo@gmail.com","(031)897081","http://skolabrekovo.nasaskola.rs/","7110863","100787604","1964-12-28","Основна школа","Државно","12","0","0","47","20","0","0","0","25","17.227600","34","25.727600"
"774.","812","Ужице","Златиборски управни округ","Ариље","Ариље","Стеван Чоловић","Браће Михајловић број 8","31230","direktor.stevancolovic@gmail.com-pomdirektor.stevancolovic@gmail.com-sekretar.stevancolovic@gmail.com-finansije.stevancolovic@g","(031)3891953","http://osstevancolovic.rs","7216912","100785856","1964-12-28","Основна школа","Државно","39","0","0","1003","506","10","8","0","69","57.305500","91","81.305500"
"775.","813","Ужице","Златиборски управни округ","Бајина Башта","Костојевићи","Душан Јерковић","Костојевићи 31254","31254","skola_kost@ptt.rs","(031)3860081","http://www.osdjerkovic.edu.rs","7155115","101960074","1888-05-15","Основна школа","Државно","13","0","0","52","26","0","0","0","33","20.216400","44","29.716400"
"776.","814","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Рајак Павићевић","Рајка Тадића 10","31250","osrpavicevicbb@ptt.rs","31865174","http://www.osrpavicevic.edu.rs","7155107","100759802","1972-06-26","Основна школа","Државно","39","0","0","785","373","2","1","0","63","53.843900","88","78.393900"
"777.","815","Ужице","Златиборски управни округ","Бајина Башта","Бајина Башта","Свети Сава","Светосаваска 76","31250","svetosavac@ptt.rs","(031)862753","http://www.ssavabb.rs","7365063","101960015","1989-06-25","Основна школа","Државно","28","0","0","636","305","3","11","0","54","44.594200","77","68.094200"
"778.","816","Ужице","Златиборски управни округ","Бајина Башта","Рогачица","Стеван Јоксимовић","Рогачица бб","31255","ossj_rogacica@mts.rs","(031)3850440","https://stevanjoksimovic.wordpress.com","7155123","101960066","1832-09-01","Основна школа","Државно","23","0","0","237","113","0","9","0","46","34.272000","66","53.572000"
"779.","817","Ужице","Златиборски управни округ","Косјерић","Варда","Јордан Ђукановић","Варда 0","31263","osjordandjukanovic@gmail.com","(031)888034","http://www.osjordandjukanovic.edu.rs","7110146","101088118","1962-05-17","Основна школа","Државно","9","0","0","86","44","1","1","0","19","11.972100","27","18.972100"
"780.","818","Ужице","Златиборски управни округ","Косјерић","Косјерић (варош)","Мито Игумановић","Светосавска 2","31260","mjoksimovic@migumanovic.edu.rs","(031)781442","http://www.migumanovic.edu.rs","7223510","101088247","1957-03-12","Основна школа","Државно","39","0","0","661","311","0","2","0","65","56.688800","97","86.159300"
"781.","819","Ужице","Златиборски управни округ","Нова Варош","Јасеново","Вук Караџић","Јасеново нема","31319","osjasenovo@gmail.com","(033)2684404","http://osvukstkaradzic.weebly.com","7109920","101067954","1964-01-01","Основна школа","Државно","9","0","0","29","14","0","0","0","19","11.972100","32","21.072100"
"782.","820","Ужице","Златиборски управни округ","Нова Варош","Радоиња","Гојко Друловић","Радоиња бб","31318","osgdrulovic@gmail.com","(033)660060","http://www.osgojkodrulovic.edu.rs","7210418","101067368","1970-05-08","Основна школа","Државно","14","0","0","65","29","0","0","0","31","20.160900","46","33.860900"
"783.","821","Ужице","Златиборски управни округ","Нова Варош","Божетићи","Кнезова Рашковића","Божетићи bb","31322","osbozetici@gmail.com","(033)660361","http://osknezovaraskovica.edu.rs","7109946","100957401","1963-07-24","Основна школа","Државно","7","0","0","43","22","3","0","0","17","10.272100","25","17.482100"
"784.","822","Ужице","Златиборски управни округ","Нова Варош","Бистрица","Добрисав Добрица Рајић","Бистрица бб","31325","skolabistrica@gmail.com","(033)080626","https://osdobricarajic.wordpress.com","7109911","101067979","1973-08-02","Основна школа","Државно","5","0","0","16","8","0","0","0","17","8.566500","23","13.566500"
"785.","823","Ужице","Златиборски управни округ","Нова Варош","Нова Варош","Живко Љујић","Ђачка 37","31320","oszlj_nvaros@mts.rs","(033)061462","http://www.oszivkoljujic.edu.rs","7109938","100957063","1973-08-02","Основна школа","Државно","28","0","0","593","287","5","4","0","52","43.366400","70","59.946400"
"786.","824","Ужице","Златиборски управни округ","Нова Варош","Акмачићи","Момир Пуцаревић","Акмачићи ББ","31320","osakmacici@gmail.com","(033)685433","https://osmomirpucarevic.wordpress.com","7210400","100957477","1973-08-02","Основна школа","Државно","9","0","0","64","30","0","0","0","23","12.022100","33","19.462100"
"787.","825","Ужице","Златиборски управни округ","Пожега","Пожега","Емилија Остојић","Књаза Милоша 26","31210","osemilijaostojic@gmail.com","(031)3816538","http://www.osemilijaostojic.edu.rs","7112785","101002642","1965-11-26","Основна школа","Државно","51","0","0","859","421","4","8","0","93","74.998600","124","108.448600"
"788.","826","Ужице","Златиборски управни округ","Пријепоље","Ковачевац","Душан Томашевић Ћирко","Велика Жупа бб","31300","dtcirko@yahoo.com","(033)771538","http://www.dtc.edu.rs","7111240","101955511","1911-10-09","Основна школа","Државно","9","0","0","176","80","0","0","0","27","13.620700","35","22.120700"
"789.","827","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Милосав Стиковић","Пионирска 1","31300","osmstikovic@mts.rs","(033)781222","http://www.osmstikovic.edu.rs","7110944","101955474","1973-09-01","Основна школа","Државно","29","0","0","547","249","5","1","0","52","39.444200","69","57.144200"
"790.","828","Ужице","Златиборски управни округ","Пријепоље","Сељашница","Михајло Баковић","Сељашница бб","31300","sseljasnica@gmail.com","(033)782171","http://www.mihailobakovic.edu.rs/","7111312","100809724","1960-04-16","Основна школа","Државно","15","0","0","123","53","2","1","0","39","21.644200","56","35.244200"
"791.","829","Ужице","Златиборски управни округ","Пријепоље","Пријепоље","Свети Сава","Лоле Рибара 1","31300","sveti.sava.os@gmail.com","(033)710027","http://www.svetisavapp.edu.rs","7320566","100810702","1991-05-31","Основна школа","Државно","21","0","0","330","157","2","1","0","37","28.505500","57","46.005500"
"792.","830","Ужице","Златиборски управни округ","Пријепоље","Бродарево","Светозар Марковић","Пионирска бб","31305","ossmarkovic@ptt.rs","(033)777102","http://ossvetozarmarkovic-brodarevo.edu.rs","7111231","100810833","1919-10-12","Основна школа","Државно","39","0","0","511","242","6","0","0","62","53.992300","89","78.242300"
"793.","831","Ужице","Златиборски управни округ","Сјеница","Штаваљ","Бранко Радичевић","Штаваљ,Ново насеље бб","36311","brankoradicevic1893@gmail.com","(020)5751410","http://osbrankoradicevicstavalj.nasaskola.rs","7192134","102097431","1962-07-31","Основна школа","Државно","11","0","0","107","52","0","0","0","22","14.472100","33","24.027700"
"794.","832","Ужице","Златиборски управни округ","Сјеница","Дуга Пољана","Братство јединство","Дуга Пољана ББ","36312","bjedinstvo@ptt.rs","(020)5375012","http://www.osbjedinstvo.info","7192142","101981982","1961-07-07","Основна школа","Државно","9","0","0","158","77","0","0","0","38","30.610000","52","43.610000"
"795.","833","Ужице","Златиборски управни округ","Сјеница","Кладница","Вук Караџић","Кладница бб","36310","oskladnica@verat.net","(020)471030","http://www.oskladnica.edu.rs","7224036","101561063","1962-07-31","Основна школа","Државно","11","0","0","122","71","0","0","0","25","16.239400","36","26.739400"
"796.","834","Ужице","Златиборски управни округ","Сјеница","Баре","Свети Сава","Баре бб","36315","os.bare@hotmail.com","(020)452165","http://ossvetisavabare.edu.rs","7192118","102404839","1962-07-31","Основна школа","Државно","9","0","0","62","24","0","0","0","20","12.972100","31","23.172100"
"797.","835","Ужице","Златиборски управни округ","Сјеница","Сјеница","12. децембар","Нова бб","36310","osnskola@yahoo.com","(020)741185","http://www.os12decembar.info","7343183","100947434","1986-01-01","Основна школа","Државно","48","0","0","943","475","10","0","0","87","69.293700","118","101.293700"
"798.","836","Ужице","Златиборски управни округ","Сјеница","Раждагиња","Јован Јовановић Змај","Раждагиња бб","36310","osjovanjovanoviczmaj@hotmail.com","(020)451728","http://jjzmajrazdaginja.edu.rs","7192126","101981966","1962-07-31","Основна школа","Државно","12","0","0","205","99","0","0","0","31","18.460800","42","28.360800"
"799.","837","Ужице","Златиборски управни округ","Сјеница","Карајукића Бунари","Рифат Бурџевић Тршо","Karajukića Bunari бб","36313","osrifatburdzovic@hotmail.co.uk","(020)453085","http://osrifatkb.info","7192169","102097440","1962-07-31","Основна школа","Државно","22","0","0","266","136","3","2","0","42","33.121600","60","51.621600"
"800.","838","Ужице","Златиборски управни округ","Сјеница","Сјеница","Светозар Марковић","Јаворска 1","36310","ossvmarkovic@gmail.com","(020)741037","http://www.ossvetozarmarkovic.info","7192452","100947813","1965-07-31","Основна школа","Државно","39","0","0","656","335","18","1","0","72","55.700000","90","73.850000"
"801.","839","Ужице","Златиборски управни округ","Ужице - град","Севојно","Алекса Дејовић","Хероја Дејовића 2","31205","skolasevojno@ossevojno.edu.rs","(031)531950","http://ossevojno.edu.rs","7156731","101777777","1962-09-15","Основна школа","Државно","32","0","0","631","309","9","2","0","47","42.737500","71","67.387500"
"802.","840","Ужице","Златиборски управни округ","Ужице - град","Ужице","Прва основна школа краља Петра II","Димитрија Туцовића 171","31000","prvaskola@mts.rs","(031)513679","http://www.prvaskola.edu.rs","7190301","101617046","1955-08-05","Основна школа","Државно","47","0","0","1097","547","5","0","0","87","71.163600","111","94.543600"
"803.","841","Ужице","Златиборски управни округ","Ужице - град","Ужице","Стари Град","Градска 1","31000","osstarigradue@mts.rs","(031)552765","http://www.osstarigrad.edu.rs","7156626","102089221","1965-09-22","Основна школа","Државно","38","0","0","889","467","7","1","1","64","53.051200","88","77.511200"
"804.","842","Ужице","Златиборски управни округ","Ужице - град","Ужице","Душан Јерковић","Трг Светог Саве 22","31000","djerkovic@mts.rs","(031)513148","https://www.dusanjerkovic.edu.rs","7156642","101777857","1955-07-25","Основна школа","Државно","43","0","0","1092","555","5","3","0","68","60.258800","87","79.758800"
"805.","843","Ужице","Златиборски управни округ","Ужице - град","Ужице","Нада Матић","Хаџи Мелентијева бб","31000","osnmatic@gmail.com","(031)517589","http://osnadamatic.edu.rs","7155972","101503975","1955-07-27","Основна школа","Државно","41","0","0","808","377","3","10","0","65","55.588800","88","80.238800"
"806.","844","Ужице","Златиборски управни округ","Ужице - град","Ужице","Слободан Секулић","Норвешких интернираца 18","31000","sekretar@petaosnovna.com","(031)562981","http://www.petaosnovna.com","7156570","101779795","1976-05-31","Основна школа","Државно","29","0","0","619","296","8","2","0","47","38.713200","69","63.213200"
